157374,1164,1163,1575,15,105
9,157186,265,187,196,15
160888,159886,162940,18982,571,2456
5440,157179,4973,2491,712,15
26,27,1526,157181,1897,105
157281,264,157179,15,1897,105
16,1526,712,157181,1897,105
157181,1897,15,712,105
392,389,1335,1375,157181,15
2588,1038,221,8732,15,1897
1767,267,28,157181,629,15
28,15384,244,712,15,1897
2074,721,585,1433,3610,15
1487,231,712,50170,15,1897
26,27,1526,157181,1897,105
26,27,1526,712,157181,1897
2294,1020,230,943,2075,157215
1722,9236,157749,294,3306,15
15,712,1099,157181,1897,105
16,1526,712,157181,1897,105
1475,757,1131,14408,1323,2101
2185,1878,1268,719,659,15
26,16,1526,712,1897,105
2230,59,157841,939,15,1897
1897,84,1163,629,15
1487,1102,137251,157181,1767,15
644,9,1,15,1897,105
631,1038,386,15,1897,105
265,600,438,1,15,1897
1767,267,28,157181,629,15
410,1099,15,1897,105
20244,105,3660,4251,8855,15
2719,761,439,432,433,15
1099,157374,1897,13642,157447,15
1099,1897,407,3532,1070,157215
394,1382,157302,15,1897,105
438,139,420,788,644,15
196,788,1382,15,1897,105
195,394,290,196,157885,2486
1721,157749,6293,15,1897,105
386,644,243,157160,15,1897
644,243,157160,956,3125,15
341,157442,133,244,157179,15
27,16,1526,712,157181,1897
2972,3220,705,2716,817,15
157281,15,712,157181,1897,105
608,609,712,1311,15,1897
1982,1477,757,2101,1323,15
187,157181,1,196,394,438
2248,644,9,15,1897,105
568,229,817,157479,15,1897
244,15,157181,712,1897,105
3493,934,970,6656,15,1897
608,609,712,1311,1566,15
286,1023,15,157181,1897,105
721,480,1897,15,105
743,2213,644,1972,139,15
274,2074,15,712,157181,1897
107,265,1,420,631,15
26,27,16,1526,1897,105
196,788,1382,195,644,15
157281,264,157179,15,1897,105
50979,105,157584,157782,15
187,2132,157160,157179,15,1897
265,15,712,157181,1897,105
3493,934,970,4572,6656,1561
26,27,16,1526,1897,105
26,27,16,157181,1897,105
350,3907,14127,16944,1403,15384
105,585,2074,1363,524,15
568,229,817,157479,278,15
157268,57610,1106,333,531,244
4405,1099,157374,915,2379,157211
2311,1447,17294,157426,361,15
126,879,15,157181,1897,105
989,157206,157207,4841,163,15
1878,934,2197,18971,15,1897
81201,43112,4690,157331,1311,15
1,15,712,157181,1897,105
157182,157181,157211,6098,157321,15
26,1526,712,157181,1897,105
196,788,1382,15,1897,105
608,609,712,1311,1566,15
634,157366,157213,15876,9185,157185
879,267,1767,82981,333,630
608,609,712,1311,15
568,15,712,157181,1897,105
1106,157187,57610,157179,597,15
1982,1475,1323,1131,15,1897
422,568,1997,2719,260,277
3610,568,1997,15,1897,105
26,27,16,1526,1897
394,1,195,196,644,15
26,27,16,1526,1897,105
244,267,609,1124,15,1897
2917,2716,817,830,761,15
26,27,16,1526,723,1897
1,327,2248,788,15
69480,10432,157536,460,157929,15
608,609,712,1311,1566,15
600,438,139,420,15,1897
157725,157364,13659,1475,15,1897
1475,757,1131,14408,15,1897
160886,159964,159829,44898,112,15
265,2590,1221,2588,386,1
105,721,2074,1433,979,1363
420,438,15,157181,1897,105
1609,1268,4126,4028,19190,15
157374,1099,5693,1164,15,1897
5732,9172,46103,158755,15,1897
2220,8349,2224,158439,9911,15
245,15,712,157181,1897,105
157374,1164,157181,15,1099
2074,721,585,1433,1363,15
139,15,712,157181,1897,105
2954,2558,7819,392,395,15
195,15,712,157181,1897,105
78,1767,267,15,1897,105
812,3676,1380,1378,2272,1511
429,1766,631,15,1897,105
1982,1323,1131,757,1475,1477
1163,1575,157217,15,1897
2074,721,585,1433,1363,15
4903,74,1074,206,105,15
2074,879,15,712,157181,1897
410,187,420,139,9,1038
157213,157568,157179,12477,681,15
1038,386,5440,187,196,15
157233,157181,1897,15,105
139,1099,438,15,1897,105
126,3937,879,773,82981,15
4156,8518,157559,157295,682,15
26,27,16,1526,1897,105
2074,721,585,1433,1363,15
139,438,157279,1,644,15
1030,1028,988,801,1819,15
2025,1998,311,712,15,1897
27,16,1099,712,1897,105
157374,1099,5693,1164,157990,158153
644,9,15,157181,1897,105
105,585,2074,1363,15,1897
26,27,16,1526,1897,105
874,2621,1770,15,1897,105
11130,660,11128,4163,15,1897
274,644,2564,9,5174,15
2621,16524,4089,32577,5179,8290
